cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       131, 7.000000216E-03,-3.920635208E-03,-1.074238564E-03,-5.527113914E+00
       132, 7.000000216E-03,-3.908189479E-03,-1.054209424E-03,-5.460775375E+00
       133, 7.000000216E-03,-4.250751808E-03,-1.155092963E-03,-1.052293897E+00
       134, 7.000000216E-03,-4.241798073E-03,-1.149061252E-03,-2.765337229E+00
       135, 7.000000216E-03,-4.231053405E-03,-1.141823130E-03,-3.841418266E+00
       136, 7.000000216E-03,-4.218159709E-03,-1.133137383E-03,-4.558306217E+00
       137, 7.000000216E-03,-4.202687182E-03,-1.122714486E-03,-5.090705395E+00
       138, 7.000000216E-03,-3.904378042E-03,-1.024463796E-03,-5.478986740E+00
       139, 7.000000216E-03,-4.186691716E-03,-8.974983357E-04,-5.454870224E+00
       140, 7.000000216E-03,-3.903769189E-03,-9.866836481E-04,-5.456059933E+00
       141, 7.000000216E-03,-3.911705688E-03,-9.489126387E-04,-5.427583694E+00
       142, 7.000000216E-03,-4.217165057E-03,-1.188484603E-03,-1.090803981E+00
       143, 7.000000216E-03,-4.210191779E-03,-1.180042396E-03,-2.810013533E+00
       144, 7.000000216E-03,-4.201823846E-03,-1.169911586E-03,-3.878644943E+00
       145, 7.000000216E-03,-4.191782326E-03,-1.157754683E-03,-4.603995323E+00
       146, 7.000000216E-03,-4.179732874E-03,-1.143166446E-03,-5.146174431E+00
       147, 7.000000216E-03,-3.921892494E-03,-9.188997792E-04,-5.378167152E+00
       148, 7.000000216E-03,-4.177903291E-03,-1.214895397E-03,-1.043732524E+00
       149, 7.000000216E-03,-4.173770547E-03,-1.204943983E-03,-2.750285387E+00
       150, 7.000000216E-03,-4.168811720E-03,-1.193002448E-03,-3.833451509E+00
       151, 7.000000216E-03,-4.162860569E-03,-1.178672654E-03,-4.563610077E+00
       152, 7.000000216E-03,-4.155719653E-03,-1.161476714E-03,-5.106846333E+00
       153, 7.000000216E-03,-4.202947486E-03,-9.247009875E-04,-5.510259151E+00
       154, 7.000000216E-03,-4.214667715E-03,-9.472195525E-04,-5.517295837E+00
       155, 7.000000216E-03,-4.221604671E-03,-9.706770070E-04,-5.513505936E+00
       156, 7.000000216E-03,-4.134296440E-03,-1.233130577E-03,-1.070661783E+00
       157, 7.000000216E-03,-4.133359063E-03,-1.222234918E-03,-2.772067070E+00
       158, 7.000000216E-03,-4.132234491E-03,-1.209160080E-03,-3.837478876E+00
       159, 7.000000216E-03,-4.130885936E-03,-1.193470322E-03,-4.559445858E+00
       160, 7.000000216E-03,-4.129267298E-03,-1.174642588E-03,-5.101437569E+00
       161, 7.000000216E-03,-4.224672914E-03,-1.006589504E-03,-5.503603935E+00
       162, 7.000000216E-03,-3.962705377E-03,-1.122610178E-03,-5.608077526E+00
       163, 7.000000216E-03,-4.216536880E-03,-1.041433192E-03,-5.568969250E+00
       164, 7.000000216E-03,-4.087511916E-03,-1.242666738E-03,-1.074264884E+00
       165, 7.000000216E-03,-4.088887013E-03,-1.231817761E-03,-2.776037216E+00
       166, 7.000000216E-03,-4.090537317E-03,-1.218799036E-03,-3.833800077E+00
       167, 7.000000216E-03,-4.092518240E-03,-1.203176333E-03,-4.546800137E+00
       168, 7.000000216E-03,-4.094894975E-03,-1.184429275E-03,-5.081141472E+00
       169, 7.000000216E-03,-4.201402422E-03,-1.076232526E-03,-5.599025249E+00
       170, 7.000000216E-03,-4.184322897E-03,-1.102468348E-03,-5.621387005E+00
       171, 7.000000216E-03,-4.165363032E-03,-1.121185487E-03,-5.620690346E+00
       172, 7.000000216E-03,-4.039276391E-03,-1.242736354E-03,-1.130324006E+00
       173, 7.000000216E-03,-4.041833803E-03,-1.232040580E-03,-2.845645905E+00
       174, 7.000000216E-03,-4.044902511E-03,-1.219205675E-03,-3.880583525E+00
       175, 7.000000216E-03,-4.048585426E-03,-1.203803695E-03,-4.583057404E+00
       176, 7.000000216E-03,-4.053004552E-03,-1.185321249E-03,-5.113814354E+00
       177, 7.000000216E-03,-4.147537053E-03,-1.137458603E-03,-5.594075203E+00
       178, 7.000000216E-03,-4.123961553E-03,-1.146126189E-03,-5.642393112E+00
       179, 7.000000216E-03,-3.991343081E-03,-1.233200077E-03,-1.135299921E+00
       180, 7.000000216E-03,-3.993685357E-03,-1.222457620E-03,-2.853566170E+00
       181, 7.000000216E-03,-3.996495157E-03,-1.209566719E-03,-3.889922380E+00
       182, 7.000000216E-03,-3.999868408E-03,-1.194097567E-03,-4.591296673E+00
       183, 7.000000216E-03,-4.003915470E-03,-1.175534562E-03,-5.121566296E+00
       184, 7.000000216E-03,-4.092412535E-03,-1.154377707E-03,-5.657302856E+00
       185, 7.000000216E-03,-4.053836688E-03,-1.156646060E-03,-5.644723892E+00
       186, 7.000000216E-03,-4.011104815E-03,-1.151450444E-03,-5.575800419E+00
       187, 7.000000216E-03,-3.947192803E-03,-1.214963733E-03,-1.041310549E+00
       188, 7.000000216E-03,-3.951536957E-03,-1.205163077E-03,-2.754940033E+00
       189, 7.000000216E-03,-3.956750035E-03,-1.193402335E-03,-3.834256411E+00
       190, 7.000000216E-03,-3.963005263E-03,-1.179289422E-03,-4.545206070E+00
       191, 7.000000216E-03,-3.970511723E-03,-1.162353670E-03,-5.067084312E+00
       192, 7.000000216E-03,-3.984114621E-03,-1.139102038E-03,-5.606975079E+00
       193, 7.000000216E-03,-4.132173024E-03,-9.906786727E-04,-6.252825260E+00
       194, 7.000000216E-03,-4.164400510E-03,-9.865219472E-04,-6.101489067E+00
       195, 7.000000216E-03,-4.097999074E-03,-9.957889561E-04,-6.336912632E+00
       196, 7.000000216E-03,-3.984658979E-03,-8.910960751E-04,-5.764052868E+00
       197, 7.000000216E-03,-4.048594739E-03,-1.120367087E-03,-6.026016712E+00
       198, 7.000000216E-03,-3.948689438E-03,-9.271104936E-04,-5.761547565E+00
       199, 7.000000216E-03,-4.041774664E-03,-1.083789277E-03,-6.225938797E+00
       200, 7.000000216E-03,-3.981657326E-03,-9.285769775E-04,-6.002106190E+00
       201, 7.000000216E-03,-4.193050787E-03,-9.799110703E-04,-5.873672485E+00
       202, 7.000000216E-03,-4.077760968E-03,-8.811085136E-04,-5.896477222E+00
       203, 7.000000216E-03,-4.011982121E-03,-8.893745835E-04,-5.881117344E+00
       204, 7.000000216E-03,-4.035627469E-03,-1.045824145E-03,-6.320615768E+00
       205, 7.000000216E-03,-3.934253473E-03,-1.054995228E-03,-5.798090935E+00
       206, 7.000000216E-03,-4.171669949E-03,-1.025882899E-03,-6.062094688E+00
       207, 7.000000216E-03,-4.199909046E-03,-1.014676178E-03,-5.834487438E+00
       208, 7.000000216E-03,-4.040685948E-03,-8.852430037E-04,-5.918537140E+00
       209, 7.000000216E-03,-3.939777613E-03,-9.588215034E-04,-5.811092854E+00
       210, 7.000000216E-03,-4.011146724E-03,-1.123394817E-03,-5.912509441E+00
       211, 7.000000216E-03,-4.085100256E-03,-1.115848310E-03,-6.056654453E+00
       212, 7.000000216E-03,-4.138399381E-03,-1.030319254E-03,-6.229424000E+00
       213, 7.000000216E-03,-4.091955256E-03,-9.571955306E-04,-6.286624432E+00
       214, 7.000000216E-03,-3.933484666E-03,-1.022618148E-03,-5.848246574E+00
       215, 7.000000216E-03,-3.956787288E-03,-9.812363423E-04,-6.029588699E+00
       216, 7.000000216E-03,-4.063617438E-03,-1.001313794E-03,-6.364455700E+00
       217, 7.000000216E-03,-4.129422829E-03,-9.525876958E-04,-6.187467575E+00
       218, 7.000000216E-03,-4.004054703E-03,-1.089868718E-03,-6.108982086E+00
       219, 7.000000216E-03,-4.070804920E-03,-1.039902680E-03,-6.345896721E+00
       220, 7.000000216E-03,-3.932004794E-03,-9.887707420E-04,-5.814848900E+00
       221, 7.000000216E-03,-4.015716724E-03,-9.276072960E-04,-6.139603138E+00
       222, 7.000000216E-03,-4.085667431E-03,-9.186004754E-04,-6.149629593E+00
       223, 7.000000216E-03,-4.161769059E-03,-9.542164626E-04,-6.046067238E+00
       224, 7.000000216E-03,-3.986937460E-03,-9.709296864E-04,-6.180406570E+00
       225, 7.000000216E-03,-4.104854539E-03,-1.034525223E-03,-6.317296982E+00
       226, 7.000000216E-03,-4.077984951E-03,-1.078133588E-03,-6.255771637E+00
       227, 7.000000216E-03,-4.000043496E-03,-1.051797415E-03,-6.227912426E+00
       228, 7.000000216E-03,-3.962635063E-03,-1.019003568E-03,-6.094048023E+00
       229, 7.000000216E-03,-4.187283106E-03,-9.546838701E-04,-5.849508286E+00
       230, 7.000000216E-03,-3.964865115E-03,-1.056696288E-03,-6.044421196E+00
       231, 7.000000216E-03,-4.117579665E-03,-8.788902778E-04,-5.788741112E+00
       232, 7.000000216E-03,-4.117131233E-03,-1.109956298E-03,-6.023741245E+00
       233, 7.000000216E-03,-4.048394039E-03,-9.236859623E-04,-6.180058002E+00
       234, 7.000000216E-03,-3.994828090E-03,-1.012540539E-03,-6.254768372E+00
       235, 7.000000216E-03,-4.029128700E-03,-1.006813487E-03,-6.340059280E+00
       236, 7.000000216E-03,-3.968469799E-03,-1.091704937E-03,-5.920270920E+00
       237, 7.000000216E-03,-4.056155216E-03,-9.625172243E-04,-6.315660477E+00
       238, 7.000000216E-03,-4.126916640E-03,-9.138031164E-04,-6.023371696E+00
       239, 7.000000216E-03,-4.145072773E-03,-1.107205404E-03,-5.920453072E+00
       240, 7.000000216E-03,-4.175043665E-03,-1.067674602E-03,-5.935710907E+00
       241, 7.000000216E-03,-4.144274630E-03,-1.071155537E-03,-6.112160206E+00
       242, 7.000000216E-03,-4.021876957E-03,-9.671076550E-04,-6.284776211E+00
       243, 7.000000216E-03,-4.111516289E-03,-1.072978368E-03,-6.222557068E+00
       244, 7.000000216E-03,-4.175377544E-03,-9.347717278E-04,-5.854626656E+00
       245, 7.000000216E-03,-4.161932506E-03,-9.084229241E-04,-5.805656433E+00
       246, 7.000000216E-03,-3.991343081E-03,-4.233200103E-03,-1.163494945E+00
       247, 7.000000216E-03,-3.993684892E-03,-4.222457763E-03,-2.927048206E+00
       248, 7.000000216E-03,-3.996495623E-03,-4.209566861E-03,-4.003944397E+00
       249, 7.000000216E-03,-3.999868408E-03,-4.194097593E-03,-4.739643574E+00
       250, 7.000000216E-03,-3.947192803E-03,-4.214963876E-03,-1.114284873E+00
       251, 7.000000216E-03,-3.951537423E-03,-4.205163568E-03,-2.904072046E+00
       252, 7.000000216E-03,-3.956750035E-03,-4.193402361E-03,-4.000784874E+00
       253, 7.000000216E-03,-3.963005263E-03,-4.179289564E-03,-4.734467983E+00
       254, 7.000000216E-03,-3.970511723E-03,-4.162353463E-03,-5.282598495E+00
       255, 7.000000216E-03,-3.907931503E-03,-4.188553430E-03,-1.155669808E+00
       256, 7.000000216E-03,-3.915116191E-03,-4.180261400E-03,-2.951974630E+00
       257, 7.000000216E-03,-3.923737444E-03,-4.170311615E-03,-4.053339481E+00
       258, 7.000000216E-03,-3.934083041E-03,-4.158371594E-03,-4.798197746E+00
       259, 7.000000216E-03,-3.946498036E-03,-4.144043662E-03,-5.354511738E+00
       260, 7.000000216E-03,-3.874015529E-03,-4.154664930E-03,-1.152957201E+00
       261, 7.000000216E-03,-3.882457735E-03,-4.147692118E-03,-2.941382647E+00
