Iteration,Surface Average 1 Monitor: Surface Average of Static Pressure (Pa)
2943,2697.810059
2945,2690.074219
2947,2681.863281
2949,2673.419189
2951,2663.85376
2953,2655.041504
2955,2647.739746
2958,2643.521484
2960,2643.677734
2962,2646.32251
2964,2650.217773
2966,2657.491699
2968,2664.650391
2970,2671.824951
2973,2680.776123
2975,2686.007813
2977,2690.308838
2979,2695.045898
2981,2698.851318
2983,2701.807617
2986,2706.143799
2988,2708.898926
2990,2712.473389
2992,2716.2229
2994,2721.567627
2996,2728.282715
2998,2735.909424
3001,2752.138184
3003,2765.188232
3005,2781.003662
3007,2799.500488
3009,2815.87793
3011,2834.082764
3013,2854.238281
3016,2890.389893
3018,2913.519775
3020,2938.256348
3022,2961.266113
3024,2987.640625
3026,3017.918213
3029,3060.153564
3031,3088.80835
3033,3118.313477
3035,3146.631104
3037,3177.958008
3039,3207.510986
3041,3235.278076
3044,3276.784912
3046,3305.202393
3048,3335.027344
3050,3364.721436
3052,3394.899414
3054,3426.949219
3056,3459.900146
3059,3513.101807
3061,3547.552246
3063,3577.818604
3065,3604.505127
3067,3627.342285
3069,3646.2771
3071,3662.15625
3074,3676.441895
3076,3679.762451
3078,3678.42749
3080,3673.21875
3082,3665.011963
3084,3651.870605
3087,3626.360107
3089,3604.993896
3091,3581.285889
3093,3555.608643
3095,3528.380615
3097,3501.060059
3099,3474.71582
3102,3432.383789
3104,3408.166748
3106,3385.314941
3108,3363.294189
3110,3345.140869
3112,3328.871338
3114,3316.428711
3117,3307.078857
3119,3306.804688
3121,3307.884521
3123,3306.139893
3125,3305.265381
3127,3301.635986
3130,3290.625
3132,3281.871826
3134,3273.602539
3136,3266.020508
3138,3261.25708
3140,3257.142578
3142,3254.677002
3145,3254.178223
3147,3254.558594
3149,3256.532227
3151,3261.702881
3153,3270.380859
3155,3274.99707
3157,3279.676514
3160,3292.687256
3162,3295.643066
3164,3298.572998
3166,3301.772461
3168,3301.674805
3170,3302.946777
3173,3296.281982
3175,3291.789551
3177,3284.533691
3179,3276.354004
3181,3264.949951
3183,3250.489502
3185,3235.541504
3188,3208.462646
3190,3188.976074
3192,3167.077393
3194,3143.519531
3196,3119.572021
3198,3094.702881
3200,3070.272217
3203,3036.575684
3205,3015.700928
3207,2995.800781
3209,2978.576172
3211,2963.758301
3213,2948.942139
3215,2936.743408
3218,2920.105469
3220,2910.019287
3222,2901.47168
3224,2894.746582
3226,2889.965576
3228,2887.362793
3231,2886.893311
3233,2889.126221
3235,2892.077393
3237,2896.432373
3239,2902.821045
3241,2910.561279
3243,2919.839355
3246,2935.300537
3248,2945.877441
3250,2956.581055
3252,2967.348145
3254,2975.278809
3256,2983.731934
3258,2990.843994
3261,2999.332764
3263,3003.599121
3265,3006.862549
3267,3008.994385
3269,3010.077637
3271,3009.207031
3274,3008.203125
3276,3005.515869
3278,3005.155762
3280,3005.121582
3282,3008.293945
3284,3012.947998
3286,3020.304443
3289,3035.557129
3291,3050.846191
3293,3068.664307
3295,3087.767822
3297,3109.472412
3299,3130.877686
3301,3153.498291
3304,3186.463867
3306,3203.433594
3308,3218.353027
3310,3232.148193
3312,3241.493164
3314,3248.030029
3316,3253.035889
3319,3256.727051
3321,3256.465332
3323,3256.445068
3325,3256.800049
3327,3257.665771
3329,3261.135254
3332,3271.380615
3334,3281.249268
3336,3293.219727
3338,3303.753418
3340,3315.110352
3342,3327.871826
3344,3337.960693
3347,3349.43457
3349,3357.411377
3351,3364.2229
3353,3368.20459
3355,3373.453857
3357,3379.151611
3359,3386.448486
3362,3397.598633
3364,3406.224365
3366,3414.445068
3368,3422.005371
3370,3428.380127
3372,3435.019043
3375,3444.076172
3377,3451.365723
3379,3459.873291
3381,3468.005371
3383,3475.615967
3385,3484.002686
